Date,Observed,Trend,Seasonal,Residual,Month,Day_of_Week
2024-07-09,7547,9214.142857142859,-6460.592145099799,4793.449287956941,July,Tuesday
2024-07-10,5343,11472.571428571428,-3002.8698138596105,-3126.701614711817,July,Wednesday
2024-07-11,14775,12135.285714285714,-1348.9375140165957,3988.651799730882,July,Thursday
2024-07-12,5682,11719.714285714284,2201.4478862973765,-8239.16217201166,July,Friday
2024-07-13,23762,11103.42857142857,6642.509110787173,6016.062317784256,July,Saturday
2024-07-14,21203,10895.714285714286,6870.76185803992,3436.5238562457935,July,Sunday
2024-07-15,3726,11009.285714285714,-4902.319382148465,-2380.966332137249,July,Monday
2024-07-16,3233,11836.57142857143,-6460.592145099799,-2142.97928347163,July,Tuesday
2024-07-17,3889,10242.42857142857,-3002.8698138596105,-3350.55875756896,July,Wednesday
2024-07-18,15570,10212.142857142857,-1348.9375140165957,6706.794656873739,July,Thursday
2024-07-19,11473,11373.571428571428,2201.4478862973765,-2102.019314868804,July,Friday
2024-07-20,12603,11188.285714285716,6642.509110787173,-5227.794825072889,July,Saturday
2024-07-21,20991,12964.857142857143,6870.76185803992,1155.3809991029366,July,Sunday
2024-07-22,11856,12945.42857142857,-4902.319382148465,3812.890810719894,July,Monday
2024-07-23,1936,14106.714285714284,-6460.592145099799,-5710.122140614485,July,Tuesday
2024-07-24,16325,14197.428571428569,-3002.8698138596105,5130.441242431041,July,Wednesday
2024-07-25,15434,15144.142857142855,-1348.9375140165957,1638.7946568737407,July,Thursday
2024-07-26,19602,14030.85714285714,2201.4478862973765,3369.694970845484,July,Friday
2024-07-27,13238,14869.857142857141,6642.509110787173,-8274.366253644315,July,Saturday
2024-07-28,27618,13063.714285714283,6870.76185803992,7683.523856245797,July,Sunday
2024-07-29,4063,15630.484693877557,-4902.319382148465,-6665.1653117290925,July,Monday
2024-07-30,7809,15949.17346938776,-6460.592145099799,-1679.5813242879613,July,Tuesday
2024-07-31,3682,16267.862244897964,-3002.8698138596105,-9582.992431038354,July,Wednesday
