Item_Name,ABC_Class,Category,Price_Tier,Segment,Base_Price_₹,Time_Slot,Day_Type,Weather_State,Signal_Footfall,Signal_Weather,Signal_SlotDay,Demand_Verdict,Recommended_Price_₹,Price_Change_%,Direction,Review_Flag,Elasticity_Coefficient,Rain_Boost_Flag
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Dinner,Weekend,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Dinner,Weekend,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,790,13.67,INCREASE,REVIEW_REQUIRED,3.3333,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Morning,Weekday,Dry Day,NORMAL,NORMAL,LOW,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Morning,Weekday,Light Drizzle,NORMAL,NORMAL,LOW,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Morning,Weekday,Heavy Rain,NORMAL,LOW,LOW,LOW,580,-11.99,DECREASE,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Morning,Weekday,Clear After Rain,NORMAL,HIGH,LOW,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Morning,Weekend,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Morning,Weekend,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Morning,Weekend,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Morning,Weekend,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Afternoon,Weekday,Dry Day,NORMAL,NORMAL,LOW,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Afternoon,Weekday,Light Drizzle,NORMAL,NORMAL,LOW,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Afternoon,Weekday,Heavy Rain,NORMAL,LOW,LOW,LOW,580,-11.99,DECREASE,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Afternoon,Weekday,Clear After Rain,NORMAL,HIGH,LOW,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Afternoon,Weekend,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Afternoon,Weekend,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Afternoon,Weekend,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Afternoon,Weekend,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Evening,Weekday,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Evening,Weekday,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Evening,Weekday,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Evening,Weekday,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Evening,Weekend,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Evening,Weekend,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Evening,Weekend,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Evening,Weekend,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,755,14.57,INCREASE,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Dinner,Weekday,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Dinner,Weekday,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Dinner,Weekday,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Dinner,Weekday,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,755,14.57,INCREASE,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Dinner,Weekend,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Dinner,Weekend,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Dinner,Weekend,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,660,0.15,HOLD,REVIEW_REQUIRED,6.6667,False
Bacon Wrapped Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,659,Dinner,Weekend,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,755,14.57,INCREASE,REVIEW_REQUIRED,6.6667,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Morning,Weekday,Dry Day,NORMAL,NORMAL,LOW,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Morning,Weekday,Light Drizzle,NORMAL,NORMAL,LOW,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Morning,Weekday,Heavy Rain,NORMAL,LOW,LOW,LOW,560,-11.81,DECREASE,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Morning,Weekday,Clear After Rain,NORMAL,HIGH,LOW,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Morning,Weekend,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Morning,Weekend,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Morning,Weekend,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Morning,Weekend,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Afternoon,Weekday,Dry Day,NORMAL,NORMAL,LOW,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Afternoon,Weekday,Light Drizzle,NORMAL,NORMAL,LOW,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Afternoon,Weekday,Heavy Rain,NORMAL,LOW,LOW,LOW,560,-11.81,DECREASE,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Afternoon,Weekday,Clear After Rain,NORMAL,HIGH,LOW,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Afternoon,Weekend,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Afternoon,Weekend,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Afternoon,Weekend,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Afternoon,Weekend,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Evening,Weekday,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Evening,Weekday,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Evening,Weekday,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Evening,Weekday,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Evening,Weekend,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Evening,Weekend,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Evening,Weekend,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Evening,Weekend,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,730,14.96,INCREASE,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Dinner,Weekday,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Dinner,Weekday,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Dinner,Weekday,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Dinner,Weekday,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,730,14.96,INCREASE,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Dinner,Weekend,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Dinner,Weekend,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Dinner,Weekend,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,635,0.0,HOLD,REVIEW_REQUIRED,13.3333,False
Cheese Lovers Pizza,A,Pizza,Premium,Dynamic Pricing Target,635,Dinner,Weekend,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,730,14.96,INCREASE,REVIEW_REQUIRED,13.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Morning,Weekday,Dry Day,NORMAL,NORMAL,LOW,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Morning,Weekday,Light Drizzle,NORMAL,NORMAL,LOW,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Morning,Weekday,Heavy Rain,NORMAL,LOW,LOW,LOW,520,-11.71,DECREASE,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Morning,Weekday,Clear After Rain,NORMAL,HIGH,LOW,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Morning,Weekend,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Morning,Weekend,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Morning,Weekend,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Morning,Weekend,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Afternoon,Weekday,Dry Day,NORMAL,NORMAL,LOW,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Afternoon,Weekday,Light Drizzle,NORMAL,NORMAL,LOW,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Afternoon,Weekday,Heavy Rain,NORMAL,LOW,LOW,LOW,520,-11.71,DECREASE,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Afternoon,Weekday,Clear After Rain,NORMAL,HIGH,LOW,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Afternoon,Weekend,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Afternoon,Weekend,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Afternoon,Weekend,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Afternoon,Weekend,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Evening,Weekday,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Evening,Weekday,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Evening,Weekday,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Evening,Weekday,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Evening,Weekend,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Evening,Weekend,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Evening,Weekend,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Evening,Weekend,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,675,14.6,INCREASE,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Dinner,Weekday,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Dinner,Weekday,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Dinner,Weekday,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,590,0.17,HOLD,REVIEW_REQUIRED,33.3333,False
Cajun Chicken,A,Blended Full Meals,Premium,Dynamic Pricing Target,589,Dinner,Weekday,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,675,14.6,INCREASE,REVIEW_REQUIRED,33.3333,False
